date,ville,annee,marque,modele,couleur,km,vin,prix
2026-03-05,Québec,2017,BMW,X1 xDrive28i,White,140299,WBXHT3C31H5F68831,10800
2026-02-25,Montréal,2025,BMW,X1 xDrive28i,White,9477,WBX73EF03S5152082,39500
2026-03-04,Montréal,2005,BMW,X3 2.5i,Black,231534,WBXPA73415WC49677,1000
2026-03-04,Montréal,2018,BMW,X3 M40i Sport Utility 4D,White,147563,5UXTS3C59J0Y98839,20300
2026-03-05,Québec,2018,BMW,X3 xDrive30i,White,134802,5UXTR9C55JLC81745,14000
2026-02-25,Montréal,2022,BMW,X3 xDrive30i,Blue,58073,5UX53DP06N9J72626,35100
2026-03-04,Montréal,2023,BMW,X3 xDrive30i,Gray,48303,5UX53DP08P9T15787,42400
2026-03-04,Montréal,2023,BMW,X4 M40i,Blue,41498,5UX43DT0XP9P78998,60750
2026-03-04,Montréal,2023,BMW,X4 xDrive30i,Black,32372,5UX33DT07P9R43434,49400
2026-02-25,Montréal,2019,BMW,X5 xDrive40i,Black,98471,5UXCR6C58KLL61375,36000
2026-03-04,Montréal,2022,BMW,X5 xDrive40i,Black,99682,5UXCR6C00N9K99105,46000
2026-03-04,Montréal,2022,BMW,X5 xDrive40i,Gray,79785,5UXCR6C02N9M75166,49600
2026-02-25,Montréal,2018,BMW,X6 xDrive35i,Black,105089,5UXKU2C50J0X51373,23000
2026-03-04,Montréal,2022,BMW,X6 xDrive40i,Gray,81260,5UXCY6C08N9L50319,56250
2026-03-04,Montréal,2022,BMW,X6 xDrive40i,Black,86592,5UXCY6C02N9L51921,55200
2026-03-04,Montréal,2024,BMW,X6 xDrive40i,White,70806,5UX33EX09R9V20888,74000
2026-02-25,Montréal,2015,Buick,Encore Leather,Black,154022,KL4CJGSB7FB045509,4600
2026-03-04,Montréal,2020,Buick,Encore GX Select,Black,125134,KL4MMESL7LB115787,8600
2026-03-05,Québec,2020,Buick,Encore Sport Touring,Gray,117611,KL4CJ2SB4LB037611,11400
2026-03-04,Montréal,2023,Buick,Encore GX Preferred,Black,43798,KL4MMCSL3PB160123,20600
2026-03-04,Montréal,2023,Buick,Encore GX Preferred,Gray,45102,KL4MMCSL9PB063122,22000
2026-03-04,Montréal,2024,Buick,Encore GX Preferred,Gray,16253,KL4AMCSL8RB069080,24250
2026-03-04,Montréal,2024,Buick,Encore GX Preferred,Gray,6023,KL4AMCSL0RB076539,25250
2026-03-04,Montréal,2024,Buick,Encore GX Sport Touring,Black,30570,KL4AMESLXRB111034,27500
2026-03-04,Montréal,2024,Buick,Encore GX Sport Touring,Blue,28752,KL4AMESL9RB102177,26250
2026-02-25,Montréal,2024,Buick,Encore GX Preferred,White,20427,KL4AMCSL8RB004391,24000
2026-03-04,Montréal,2024,Buick,Envision Preferred,Black,2584,LRBFZME46RD039005,37250
2026-03-04,Montréal,2024,Buick,Envista Preferred,Black,18041,KL47LAE2XRB103007,22250
2026-03-04,Montréal,2024,Buick,Envista Preferred,Black,9260,KL47LAE21RB124232,22750
2026-03-04,Montréal,2024,Buick,Envista Preferred,White,23576,KL47LAE28RB068869,22500
2026-03-04,Montréal,2024,Buick,Envista Sport Touring,Black,38050,KL47LBE26RB097695,22600
2026-03-04,Montréal,2024,Buick,Envista Sport Touring,Black,35340,KL47LBE25RB084095,22750
2026-03-04,Montréal,2024,Buick,Envista Sport Touring,White,46413,KL47LBE21RB083171,21000
2026-03-04,Montréal,2024,Buick,Envista Sport Touring,Other,27499,KL47LBE27RB098595,22750
2026-03-04,Montréal,2024,Buick,Envista Sport Touring,Orange,12280,KL47LBE26RB082484,24500
2026-03-04,Montréal,2024,Buick,Envista Sport Touring,Black,36237,KL47LBE24RB113215,23750
2026-03-04,Montréal,2024,Buick,Envista Sport Touring,Gray,24251,KL47LBE23RB113867,23250
2026-03-04,Montréal,2024,Buick,Envista Sport Touring,Gray,31436,KL47LBE2XRB098168,24200
2026-02-25,Montréal,2024,Cadillac,CT5 Premium Luxury,Gray,16907,1G6DT5RW5R0110457,49750
2026-03-05,Québec,2024,Cadillac,Escalade ESV 4WD Sport Platinum,Black,22603,1GYS4RKL6RR273228,117750
2026-03-04,Montréal,2025,Cadillac,Escalade 4WD Sport Platinum,White,5650,1GYS9GRL3SR109243,163000
2026-03-04,Montréal,2024,Cadillac,Lyriq 4DR,Gray,17743,1GYKPRRL8RZ104325,38000
2026-03-04,Montréal,2024,Cadillac,Lyriq Tech,Gray,25294,,40800
2026-03-04,Montréal,2023,Cadillac,XT4 AWD Luxury,Gray,2891,1GYFZBR48PF119000,38250
2026-03-04,Montréal,2023,Cadillac,XT4 AWD Luxury,Black,40309,1GYFZBR49PF179710,30500
2026-03-05,Québec,2023,Cadillac,XT4 AWD Sport,Silver,18342,1GYFZFR47PF167580,38200
2026-03-04,Montréal,2024,Cadillac,XT4 AWD Sport,Black,26379,1GYFZFR48RF101557,46750
2026-03-04,Montréal,2024,Cadillac,XT4 AWD Sport,Gray,72119,1GYFZFR4XRF165454,32250
2026-03-04,Montréal,2020,Chevrolet,Blazer RS,Blue,105399,3GNKBKRS5LS581700,21100
2026-03-04,Montréal,2024,Chevrolet,Blazer RS,Red,23057,3GNKBKRS4RS144151,38750
2026-03-04,Montréal,2020,Chevrolet,Bolt EV 5LT,Red,93474,1G1FY6S08L4128947,14100
2026-03-05,Québec,2022,Chevrolet,Bolt EV 1LT,Blue,48009,1G1FW6S05N4114092,21000
2026-03-04,Montréal,2023,Chevrolet,Bolt EUV LT,Red,59039,1G1FY6S01P4125622,22250
2026-02-26,Québec,2018,Chevrolet,Colorado 4WD LT Crew Cab Std Bed,Yellow,83707,1GCGTCEN2J1245826,27000
2026-02-25,Montréal,2018,Chevrolet,Colorado 4WD ZR2 Crew Cab Short Bed,White,93829,1GCPTEE18J1164869,28000
2026-03-04,Montréal,2021,Chevrolet,Colorado 4WD LT Crew Cab Std Bed,White,184368,1GCGTCEN7M1228122,18000
2026-02-25,Montréal,2022,Chevrolet,Colorado 4WD ZR2 Crew Cab Short Bed,Blue,73197,1GCGTEENXN1104083,40100
2026-03-04,Montréal,2023,Chevrolet,Colorado 4WD LT Crew Cab Short Bed,Gray,20416,1GCPTCEK3P1256672,42750
2026-03-04,Montréal,2023,Chevrolet,Colorado 4WD Work Truck Crew Cab Short Bed,Black,39881,1GCPTBEK2P1257421,35250
2026-03-04,Montréal,2024,Chevrolet,Colorado 4WD Trail Boss Crew Cab Short Bed,Other,25254,1GCPTEEK0R1203278,44250
2026-03-04,Montréal,2024,Chevrolet,Colorado 4WD Trail Boss Crew Cab Short Bed,Black,40172,1GCPTEEK7R1132807,42200
2026-02-25,Montréal,2022,Chevrolet,Corvette 1LT,Gray,17724,1G1YA2D49N5111366,79100
2026-03-05,Québec,2024,Chevrolet,Corvette 3LT,Red,4684,1G1YC3D49R5107792,104200
2026-03-04,Montréal,2016,Chevrolet,Cruze Premier,Black,85134,1G1BG5SMXG7232486,5100
2026-03-04,Montréal,2019,Chevrolet,Cruze LT,White,198728,1G1BE5SM7K7146325,4100
2026-03-05,Québec,2018,Chevrolet,Equinox LS,Black,234331,2GNAXREV3J6168305,4000
2026-02-25,Montréal,2018,Chevrolet,Equinox Premier,Red,155053,2GNAXVEVXJ6102648,7800
2026-03-04,Montréal,2019,Chevrolet,Equinox LS,Silver,178913,2GNAXHEV1K6193683,5400
2026-02-25,Montréal,2019,Chevrolet,Equinox LT,White,177716,2GNAXUEV7K6154279,7700
2026-03-04,Montréal,2019,Chevrolet,Equinox LT,White,248477,2GNAXUEV1K6216128,5000
2026-03-04,Montréal,2019,Chevrolet,Equinox LT,Black,171209,2GNAXJEV6K6188616,6200
2026-02-26,Québec,2019,Chevrolet,Equinox Premier,Red,90511,2GNAXYEX8K6193648,14900
2026-03-04,Montréal,2020,Chevrolet,Equinox LT,Black,92756,2GNAXTEV5L6254604,14000
2026-03-04,Montréal,2022,Chevrolet,Equinox LT,White,101627,2GNAXUEV6N6121486,17800
2026-02-25,Montréal,2022,Chevrolet,Equinox LT,White,94296,3GNAXUEVXNL257616,19200
2026-03-04,Montréal,2023,Chevrolet,Equinox LS,Black,166705,3GNAXSEG5PL156248,13600
2026-03-04,Montréal,2025,Chevrolet,Equinox EV 4DR,Black,29647,3GN7DSRR8SS181559,32800
2026-03-05,Québec,2017,Chevrolet,Malibu LT,Gray,149009,1G1ZE5ST8HF147777,7500
2026-03-05,Québec,2018,Chevrolet,Silverado 1500 LT,Red,145474,1GCVKREC1JZ236161,16000
2026-03-04,Montréal,2019,Chevrolet,Silverado 1500 Custom Trail Boss,Red,155104,1GCRYCEH0KZ229714,21900
2026-03-04,Montréal,2019,Chevrolet,Silverado 1500 LTZ Crew Cab Std Bed,Black,194911,1GCUYGED3KZ379119,24000
2026-02-25,Montréal,2019,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Black,124327,1GCUYEED8KZ424981,30200
2026-03-04,Montréal,2020,Chevrolet,Silverado 1500 LT Trail Boss Crew Cab Std Bed,Gray,91723,1GCPYFEL7LZ348066,44200
2026-02-25,Montréal,2020,Chevrolet,Silverado 1500 RST,Black,57850,1GCRYEED3LZ353762,36600
2026-02-25,Montréal,2020,Chevrolet,Silverado 1500 LT Trail Boss Crew Cab Std Bed,Red,73457,1GCPYFEL7LZ372769,44800
2026-03-04,Montréal,2021,Chevrolet,Silverado 1500 LT Trail Boss Crew Cab Std Bed,Gray,90155,1GCPYFED4MZ291884,45000
2026-03-04,Montréal,2021,Chevrolet,Silverado 1500 RST Crew Cab Short Bed,White,68488,1GCUYEED6MZ383687,39500
2026-02-25,Montréal,2021,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std Bed,Silver,62144,1GCPYCEF0MZ375765,40300
2026-03-04,Montréal,2022,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,66812,3GCPDBEK3NG682951,29750
2026-03-04,Montréal,2022,Chevrolet,Silverado 1500 LTD LT Crew Cab Short Bed,Black,127843,1GCPYDEK8NZ165645,27600
2026-03-04,Montréal,2022,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Gray,37598,1GCUDEET9NZ612738,49300
2026-03-04,Montréal,2023,Chevrolet,Silverado 1500 High Country Crew Cab Std Bed,White,32947,3GCUDJEL1PG351780,55500
2026-03-04,Montréal,2023,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Black,58977,1GCUDEED9PZ202100,47000
2026-03-04,Montréal,2023,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Black,69957,3GCUDEED2PG344627,44250
2026-03-04,Montréal,2023,Chevrolet,Silverado 1500 Work Truck Crew Cab Std Bed,White,8505,3GCUDAED5PG222708,40000
2026-03-04,Montréal,2023,Chevrolet,Silverado 1500 Work Truck Crew Cab Std Bed,White,63859,1GCPDAEK8PZ294580,32750
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,35101,1GCPDBEK8RZ238230,40500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Gray,38631,1GCPDBEK0RZ226265,37500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Gray,23353,1GCPDBEK1RZ239817,44250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Gray,29777,1GCPDBEK6RZ195801,43250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Blue,29531,3GCPDBEK3RG217575,42500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Red,22985,1GCPDBEK1RZ257721,39250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Gray,40636,3GCPDBEK1RG217901,43750
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,28435,1GCPDBEK8RZ212274,40250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Gray,24366,1GCPDBEK1RZ239462,43250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,27511,1GCPDBEK4RZ232523,40000
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,34755,1GCPDBEK1RZ297071,40000
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Gray,37570,1GCPDBEK5RZ250688,40750
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Red,40073,3GCPDBEK6RG170235,39500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Red,25212,1GCPDBEK0RZ197026,43000
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Blue,29258,1GCPDBEK XRZ255952,41250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Gray,32849,1GCPDBEK3RZ209783,35250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,63524,1GCPDBEK6RZ248447,34800
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,24177,3GCPDBEK2RG132484,40250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,15940,1GCPDBEK3RZ206172,43750
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Blue,40701,3GCPDBEK0RG218912,40250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,39375,1GCPDBEK6RZ111752,41000
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,51226,3GCPDBEK9RG216575,38500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,47506,3GCPDBEKXRG217086,37750
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Red,40862,1GCPDBEK0RZ306746,41500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab,Black,32333,3GCUDCE84RG242496,48250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab,Black,45991,3GCPDCEK3RG317004,40500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab,Black,37064,3GCPDCEK9RG222379,43000
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab,Gray,20106,3GCPDCEK2RG317012,46500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab,Black,28744,3GCPDCEK1RG317003,43200
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Short,Gray,39628,3GCUDCE88RG199216,49000
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,Black,30184,3GCPDCEK9RG145979,43250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,Gray,39365,3GCPDCEK2RG360622,43250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,Blue,23309,3GCUDCED0RG129416,48500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std Bed,White,33789,3GCPDCEK7RG190788,38500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 LT Trail Boss Crew Cab Std Bed,White,31596,3GCUDFEDXRG137105,53500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 LT Trail Boss Crew Cab Std Bed,Black,35126,3GCPDFEK0RG280804,44250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 LT Trail Boss Crew Cab Std Bed,Black,35743,3GCUDFE82RG125680,53000
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,White,19001,1GCPDEEK5RZ233049,51500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Gray,46334,1GCUDEE83RZ226673,52500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Black,55591,1GCUDEE8XRZ152104,51000
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Gray,36178,1GCPDEEK6RZ205129,50500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Black,27456,1GCPDEEK5RZ231530,48500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Blue,42698,1GCUDEE83RZ108610,53250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Red,28027,1GCUDEE86RZ192602,55750
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Black,37941,1GCUDEE84RZ174437,54500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Black,49135,1GCUDEE84RZ213303,51500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,White,51805,1GCUDEE89RZ209893,53000
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Black,25350,1GCPDEEKXRZ197407,49500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Red,101357,1GCUDEED7RZ192573,41800
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,White,31363,3GCUDEED0RG193001,52500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Black,43824,1GCUDEED7RZ237981,50750
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 Work Truck Crew Cab Std Bed,Gray,87375,1GCUDAED3RZ199464,28250
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 ZR2 Crew Cab Short Bed,White,29496,3GCUDHE83RG113968,61500
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 ZR2 Crew Cab Short Bed,Gray,36338,3GCUDHE80RG147933,63000
2026-03-04,Montréal,2024,Chevrolet,Silverado 1500 ZR2 Crew Cab Short Bed,Black,52855,3GCUDHEL8RG105062,56500
2026-03-04,Montréal,2024,Chevrolet,Silverado 2500HD High Country Crew Cab Std Bed,Black,85425,2GC1YREY1R1120083,64750
2026-03-05,Québec,2018,Chevrolet,Spark LT,Silver,53046,KL8CD6SA5JC461844,10100
2026-03-04,Montréal,2022,Chevrolet,Suburban RST,Black,103598,1GNSKEKL7NR314455,63250
2026-03-04,Montréal,2024,Chevrolet,Suburban LT,Black,55164,1GNSKCKT1RR107280,73750
2026-03-04,Montréal,2023,Chevrolet,Tahoe Z71,Black,53875,1GNSKPKL5PR358193,77500
2026-02-25,Montréal,2025,Chevrolet,Tahoe LS,Gray,42679,1GNS6MRDXSR153656,69700
2026-03-04,Montréal,2025,Chevrolet,Tahoe LT,Gray,32865,1GNS6NRD8SR118104,76500
2026-03-04,Montréal,2022,Chevrolet,TrailBlazer RS,Black,81894,KL79MUSL0NB039075,18250
2026-03-04,Montréal,2023,Chevrolet,Trailblazer LT,Black,16576,KL79MRSL5PB204831,22000
2026-03-04,Montréal,2023,Chevrolet,Trailblazer LT,Black,33872,KL79MRSL4PB149000,18600
2026-03-04,Montréal,2023,Chevrolet,Trailblazer RS,Gray,37780,KL79MUSL1PB208183,24000
2026-03-04,Montréal,2024,Chevrolet,TrailBlazer Activ,Green,18069,KL79MSSL2RB078275,28250
2026-03-04,Montréal,2024,Chevrolet,TrailBlazer LT,Black,49434,KL79MRSL2RB125054,18750
2026-03-05,Québec,2024,Chevrolet,Trailblazer LT,Blue,99475,KL79MRSL1RB104647,20200
2026-02-26,Québec,2025,Chevrolet,Trailblazer RS Sport Utility 4D,Black,13514,KL79MUSL3SB130384,25000
2026-02-25,Montréal,2021,Chevrolet,Traverse LT True North,Black,103872,1GNEVHKW9MJ149036,26900
2026-03-04,Montréal,2020,Chevrolet,Trax Premier,White,133109,3GNCJRSB4LL201752,9800
2026-03-04,Montréal,2021,Chevrolet,Trax LT,Silver,155491,KL7CJPSM9MB366792,10000
2026-03-04,Montréal,2022,Chevrolet,Trax LT,Silver,160057,KL7CJPSM1NB541666,9300
2026-03-04,Montréal,2024,Chevrolet,Trax LT,Black,25253,KL77LHE2XRC209818,21000
2026-02-25,Montréal,2025,Chevrolet,Trax LS,Gray,27426,KL77LFE21SC003216,19900
2026-03-05,Québec,2025,Chevrolet,Trax LT,Gray,28461,KL77LHE29SC081495,23400
2026-03-05,Québec,2015,Chevrolet,Volt 5DR HB,Black,122709,1G1RA6E48FU130668,1300
2026-03-04,Montréal,2017,Chevrolet,Volt LT Hatchback 4D,Blue,174755,1G1RC6S54HU149433,4100
2026-03-04,Montréal,2022,Chrysler,300 Touring L,Silver,62838,2C3CCASGXNH270932,21800
2026-03-04,Montréal,2025,Chrysler,Pacifica Select,Blue,1,2C4RC3BG9SR606920,43000
2026-02-26,Québec,2022,Crestliner,1700 Vision,Black,1,CRCVB013H122,32500
2026-03-04,Montréal,2024,Dodge,Charger Daytona Scat Pack,Red,9076,2C3CDBCK6RR205873,46750
2026-03-04,Montréal,2024,Dodge,Durango Citadel,White,9313,1C4RDJEG4RC231485,49500
2026-03-04,Montréal,2024,Dodge,Durango R/T Plus,White,68231,1C4SDJCT8RC172958,45000
2026-03-05,Québec,2016,Dodge,Grand Caravan Canada Value Package,Red,91567,2C4RDGBG7GR390609,9400
2026-02-26,Québec,2017,Dodge,Grand Caravan Canada Value Package,Gray,125681,2C4RDGBGXHR867955,11200
2026-03-04,Montréal,2019,Dodge,Grand Caravan Canada Value Package,White,117752,2C4RDGBG3KR719279,15000
2026-03-04,Montréal,2023,Dodge,Hornet GT Plus,Black,5584,ZACNDFBN9P3A05294,25000
2026-03-05,Québec,2022,Ford,Bronco Sport Big Bend,White,66890,3FMCR9B61NRD30189,23100
2026-03-04,Montréal,2023,Ford,Bronco Sport Big Bend,Black,26460,3FMCR9B67PRE16755,26100
2026-03-04,Montréal,2024,Ford,Bronco Wildtrak,Black,24257,1FMEE2BP2RLB33993,63100
2026-03-04,Montréal,2019,Ford,Edge ST,Gray,133532,2FMPK4AP7KBC40865,13200
2026-03-05,Québec,2020,Ford,Edge Titanium,Black,95748,2FMPK4K91LBB65808,19400
2026-02-25,Montréal,2021,Ford,Edge SEL,Black,85192,2FMPK4J99MBA40719,18500
2026-03-04,Montréal,2015,Ford,Escape SE,Gray,146724,1FMCU9G95FUC49076,2750
2026-02-25,Montréal,2018,Ford,Escape SE,White,142269,1FMCU9GD4JUB64016,7800
2026-03-04,Montréal,2019,Ford,Escape SE,White,148202,1FMCU9GD9KUB72419,6000
2026-03-04,Montréal,2019,Ford,Escape SE,Gray,137566,1FMCU9GD2KUC11965,8100
2026-03-05,Québec,2020,Ford,Escape S,Silver,85727,1FMCU9F69LUA02100,15700
2026-03-04,Montréal,2020,Ford,Escape SE,White,112191,1FMCU0G66LUA16286,11800
2026-02-25,Montréal,2021,Ford,Escape SE,White,125310,1FMCU9G66MUA12292,12400
2026-03-04,Montréal,2021,Ford,Escape SEL Hybrid,Black,123500,1FMCU9CZ1MUB36308,12100
2026-03-04,Montréal,2022,Ford,Escape SE Hybrid,Gray,148371,1FMCU9BZ4NUA66998,11200
2026-03-04,Montréal,2022,Ford,Escape SE Plug-In Hybrid,Silver,54629,1FMCU0EZ2NUB28387,19200
2026-02-25,Montréal,2022,Ford,Escape SE Hybrid,White,125781,1FMCU9BZ7NUA63447,15200
2026-03-04,Montréal,2022,Ford,Escape SEL,Silver,41842,1FMCU9H66NUB03823,20200
2026-03-04,Montréal,2022,Ford,Escape Titanium Hybrid,Gray,41032,1FMCU9DZ9NUA98763,25300
2026-03-04,Montréal,2024,Ford,Escape Active,Black,42091,1FMCU9GN6RUA89582,14400
2026-03-05,Québec,2024,Ford,Escape ST-Line,Gray,138717,1FMCU9MZ3RUB38292,21000
