date,ville,annee,marque,modele,couleur,km,vin,prix
2026-04-15,Montréal,2022,Audi,E-Tron,Black,62064,WA1AAAGE5NB022381,34200
2026-03-04,Montréal,2022,Audi,E-Tron Progressiv,Gray,100036,WA1AAAGE5NB019108,27000
2026-03-04,Montréal,2022,Audi,E-Tron Sportback Technik,Gray,36746,WA13AAGE0NB002452,38600
2026-03-11,Montréal,2022,Audi,E-Tron Sportback Progressiv,Gray,84917,WA11AAGE3NB006812,28200
2026-04-08,Montréal,2022,Audi,E-Tron Sportback Technik,White,77420,WA13AAGE4NB023885,33600
2026-04-08,Montréal,2022,Audi,E-Tron Sportback Technik,Black,104796,WA13AAGE7NB008359,27200
2026-03-18,Montréal,2017,Audi,Q3 Komfort,Black,111172,WA1ECCFS6HR004871,9500
2026-04-15,Montréal,2021,Audi,Q3,WHITE,58628,WA1EECF37M1062077,23500
2026-03-18,Montréal,2021,Audi,Q3 Komfort,Black,74166,WA1AECF36M1066555,21300
2026-03-18,Montréal,2021,Audi,Q3 Progressiv,Blue,68358,WA1EECF36M1018281,26000
2026-03-04,Montréal,2022,Audi,Q3 Komfort,White,72836,WA1AUCF38N1079845,23500
2026-02-25,Montréal,2022,Audi,Q3 Komfort,White,66158,WA1AUCF33N1068073,21750
2026-03-11,Montréal,2022,Audi,Q3 Komfort,Black,49374,WA1AUCF38N1058526,25800
2026-04-08,Montréal,2022,Audi,Q3 Komfort,Black,18612,WA1AECF39N1143078,27800
2026-04-08,Montréal,2022,Audi,Q3 Komfort,Black,67598,WA1AECF35N1077371,25200
2026-04-09,Québec,2023,Audi,Q3 Komfort,Blue,52083,WA1AECF39P1085394,27800
2026-03-04,Montréal,2023,Audi,Q3 Technik,Orange,43872,WA1FECF3XP1068318,35700
2026-03-04,Montréal,2024,Audi,Q3 Komfort,White,22487,WA1DECF38R1149599,34200
2026-03-11,Montréal,2024,Audi,Q3 Progressiv,Red,45648,WA1EECF37R1020340,34600
2026-03-04,Montréal,2024,Audi,Q3 Technik S Line,Black,37748,WA1FECF3XR1057760,34100
2026-04-15,Montréal,2022,Audi,Q4 E-Tron,Gray,54406,WA1G2AFZ3NP043860,27800
2026-03-25,Montréal,2024,Audi,Q4 E-Tron 55 Quattro,,37149,NOVIN-E7CD57B371,37200
2026-03-04,Montréal,2025,Audi,Q4 E-Tron 55 Quattro,White,16530,WA1GUAFZ5SP028685,44000
2026-03-11,Montréal,2018,Audi,Q5 Komfort,BLACK,101335,WA1ANAFY6J2148937,14800
2026-03-11,Montréal,2019,Audi,Q5 Progressiv,Black,138036,WA1BNAFY0K2065980,16500
2026-04-15,Montréal,2020,Audi,Q5,Black,62284,WA1ENAFY3L2045530,25500
2026-04-01,Montréal,2020,Audi,Q5 Progressiv,Black,100728,WA1ENAFY6L2093541,21000
2026-04-15,Montréal,2021,Audi,Q5,BLACK,93223,WA1AAAFY1M2090753,20400
2026-04-15,Montréal,2021,Audi,Q5,Black,116272,WA1EAAFYXM2089103,23200
2026-03-25,Montréal,2021,Audi,Q5 Progressiv,Gray,69660,WA1EAAFY2M2031194,28600
2026-04-15,Montréal,2022,Audi,Q5,Blue,46571,WA1AAAFY7N2064675,23000
2026-03-04,Montréal,2022,Audi,Q5 Komfort,Black,74195,WA1AAAFY6N2088255,25200
2026-03-04,Montréal,2022,Audi,Q5 Progressiv,Gray,33135,WA1EAAFY0N2084252,33200
2026-03-25,Montréal,2022,Audi,Q5 Progressiv,BLACK,98330,WA1EAAFY8N2083253,29400
2026-04-01,Montréal,2022,Audi,Q5 Progressiv,BLACK,98995,WA1EAAFY6N2119859,30800
2026-03-18,Montréal,2022,Audi,Q5 Sportback Progressiv,White,74337,WA14AAFY7N2028787,32500
2026-03-11,Montréal,2023,Audi,Q5 Komfort,GRAY,144352,WA1ABAFY7P2108349,22600
2026-03-04,Montréal,2023,Audi,Q5 Progressiv,Blue,57601,WA1EAAFY7P2037254,34800
2026-03-04,Montréal,2023,Audi,Q5 Sportback Progressiv,White,45718,WA14AAFYXP2168089,36400
2026-04-02,Québec,2025,Audi,Q6 E-Tron,WHITE,54099,WA154BGF1SA007658,50600
2026-03-26,Québec,2019,Audi,Q7 Technik,White,85617,WA1VAAF78KD040068,24100
2026-04-15,Montréal,2022,Audi,Q7,SILVER,128329,WA1BXBF79ND006944,25600
2026-03-18,Montréal,2022,Audi,Q7 Progressiv,Gray,89674,WA1MXBF77ND007888,35000
2026-04-01,Montréal,2019,Audi,Q8 Technik,GRAY,125464,WA1FVAF18KD030760,36000
2026-03-04,Montréal,2022,Audi,Q8 Progressiv,Black,101158,WA1DVBF11ND016670,38400
2026-04-08,Montréal,2023,Audi,Q8 Technik,GRAY,94496,WA1FVBF18PD032411,48200
2026-04-01,Montréal,2018,Audi,Rs 5 Coupe 2.9 Tfsi Quattro Tiptronic,Black,78444,WUARWAF50JA902094,41000
2026-03-18,Montréal,2019,Audi,RS 5 Sportback 2.9 TFSI Quattro,White,98526,WUACWCF56KA904869,34400
2026-04-15,Montréal,2021,Audi,Rs 7,Gray,58536,WUAPCAF27MN908249,84750
2026-03-04,Montréal,2022,Audi,RS 5 Sportback 2.9 TFSI Quattro,White,99647,WUABWCF58NA900550,57400
2026-03-11,Montréal,2018,Audi,S3 Sedan Progressiv,Gray,106894,WAUB1GFF2J1060672,19800
2026-03-18,Montréal,2023,Audi,S3 Sedan Progressiv,Gray,42998,WAUH3CGYXPA083915,36200
2026-04-15,Montréal,2021,Audi,S5 Sportback,Black,111768,WAUA4CF55MA020237,29000
2026-03-18,Montréal,2023,Audi,S5 Sportback Technik,Green,30009,WAUB4DF57PA035885,52600
2026-03-04,Montréal,2025,Audi,S5 Progressiv,Gray,4113,WAU25CFU5SN047713,60750
2026-04-15,Montréal,2015,Bmw,2 Series,Black,62821,WBA1J9C58FVX98883,17700
2026-03-05,Québec,2021,BMW,2 Series M235i xDrive,Gray,88272,WBA13AL06M7G89293,27600
2026-04-15,Montréal,2021,Bmw,2 Series,White,154398,WBA73AK02M7G91604,15800
2026-04-01,Montréal,2024,Bmw,2 Series 230I Xdrive,Black,42884,3MW33CM07R8E73314,32600
2026-04-15,Montréal,2024,Bmw,2 Series,Black,45956,WBA73AK05R7P08562,29250
2026-04-02,Québec,2026,Bmw,2 Series,Gray,6539,WBA23GG07T7T92465,43000
2026-03-04,Montréal,2011,BMW,3 Series 323i,Gray,264861,WBAPG7G59BNN18129,1500
2026-04-08,Montréal,2013,Bmw,3 Series 320I Xdrive Sedan 4D,White,206863,WBA3C3C59DF981264,4000
2026-03-04,Montréal,2018,BMW,3 Series 330i xDrive,Black,102059,WBA8D9C51JA013898,14500
2026-03-25,Montréal,2018,Bmw,3 Series M Sport Edition,BLACK,75182,WBA8D9G58JNU70453,16900
2026-04-15,Montréal,2018,Bmw,3 Series,White,143793,WBA8D9G5XJNU69563,10000
2026-04-08,Montréal,2019,Bmw,3 Series 330I Xdrive,White,94973,WBA5R7C59KAJ78382,24600
2026-03-25,Montréal,2021,Bmw,3 Series 330I Xdrive,White,60912,3MW5R7J09M8C14142,30600
2026-03-25,Montréal,2021,Bmw,3 Series 330I Xdrive,White,103258,3MW5R7J00M8B52940,24000
2026-03-04,Montréal,2022,BMW,3 Series 330e xDrive,Gray,47862,WBA5P9C01NFM41218,28000
2026-03-04,Montréal,2022,BMW,3 Series 330i xDrive,White,111032,3MW5R7J05N8C29500,24300
2026-03-25,Montréal,2022,Bmw,3 Series 330E Xdrive,Black,50176,WBA5P9C06NFM20770,30700
2026-04-01,Montréal,2022,Bmw,3 Series 330E Xdrive,GRAY,39600,WBA5P9C02NFM40627,28000
2026-04-08,Montréal,2022,Bmw,3 Series 330I Xdrive,Black,42395,WBA5R7C07NFL90256,33200
2026-04-08,Montréal,2022,Bmw,3 Series 330E Xdrive,BLACK,68579,WBA5P9C04NFM41911,29000
2026-04-15,Montréal,2022,Bmw,3 Series,Black,136128,3MW5R7J08N8C51734,22100
2026-04-15,Montréal,2022,Bmw,3 Series,BLUE,43116,WBA5P9C01NFM67043,26700
2026-04-15,Montréal,2023,Bmw,3 Series,White,107994,WBA83FF09PFN50287,29500
2026-04-15,Montréal,2023,Bmw,3 Series,Gray,63036,3MW89FF01P8C98705,40900
2026-04-08,Montréal,2024,Bmw,3 Series M340I Xdrive,Blue,31269,3MW49FF08R8E46284,61700
2026-04-15,Montréal,2024,Bmw,3 Series,GRAY,23414,3MW39FS02R8E03111,38500
2026-03-04,Montréal,2016,BMW,4 Series 428i xDrive,Black,155043,WBA4C9C54GG141558,9050
2026-04-15,Montréal,2016,Bmw,4 Series,Black,128655,WBA3N9C57GK251068,10300
2026-03-26,Québec,2017,Bmw,4 Series 430I Xdrive Gran Coupe 4D,WHITE,175602,WBA4F9C35HG812212,11000
2026-04-02,Québec,2017,Bmw,4 Series,White,191325,WBA4E5C51HG188891,7100
2026-04-08,Montréal,2018,Bmw,4 Series 430I Xdrive,Other,74527,WBA4W5C53JAA49466,17200
2026-04-15,Montréal,2019,Bmw,4 Series,Gray,60860,WBA4W5C56KAE49443,22400
2026-04-01,Montréal,2020,Bmw,4 Series 430I Xdrive,Black,65120,WBA4W5C04LFH80823,26600
2026-03-18,Montréal,2022,BMW,4 Series 430i XDrive,Black,40597,WBA73AP00NCJ36388,36600
2026-02-25,Montréal,2016,BMW,5 Series 535i xDrive,Black,165228,WBA5B3C53GG260982,8600
2026-04-15,Montréal,2018,Bmw,5 Series,Gray,120092,WBAJA7C59JWA71665,20300
2026-02-25,Montréal,2020,BMW,5 Series 530i xDrive,Black,77328,WBAJR7C09LWW77903,24900
2026-04-09,Québec,2010,Bmw,7 Series 750I Xdrive,Black,149490,WBAKC6C55ACL67970,5200
2026-03-11,Montréal,2022,BMW,I4 M50,Gray,76252,WBY33AW00NFM32947,41600
2026-04-08,Montréal,2024,Bmw,I4 Edrive35,White,45241,WBY43AW05RFR75933,36100
2026-04-15,Montréal,2022,Bmw,Ix,RED,87802,WB523CF00NCJ77223,45600
2026-03-11,Montréal,2023,BMW,IX XDRIVE40,BLACK,74055,WB513CF0XPCK53495,41600
2026-03-18,Montréal,2025,BMW,iX XDrive40,BLACK,15542,WB513CF01SCT49332,61300
2026-03-11,Montréal,2025,BMW,IX XDRIVE50,BLACK,21714,WB523CF0XSCS80242,68800
2026-04-01,Montréal,2015,Bmw,M3 Base,YELLOW,95582,WBS3C9C55FP805033,43700
2026-04-08,Montréal,2022,Bmw,M440I,Blue,42480,WBA13AW00NFM23591,50000
2026-03-11,Montréal,2019,BMW,M5 Sedan,Gray,69491,WBSJF0C57KB285516,68000
2026-04-01,Montréal,2016,Bmw,X1 Xdrive28I,Blue,114183,WBXHT3C3XG5E51330,10900
2026-03-05,Québec,2017,BMW,X1 xDrive28i,White,140299,WBXHT3C31H5F68831,10800
2026-02-25,Montréal,2025,BMW,X1 xDrive28i,White,9477,WBX73EF03S5152082,39500
2026-03-25,Montréal,2025,Bmw,X1 Xdrive28I,GREEN,8243,WBX73EF08S5105436,39400
2026-03-25,Montréal,2025,Bmw,X1 Xdrive28I,BLACK,28284,WBX73EF08S5212325,37000
2026-04-01,Montréal,2024,Bmw,X2 Xdrive28I,Red,24173,WBX63GM05R5015570,36200
2026-03-04,Montréal,2005,BMW,X3 2.5i,Black,231534,WBXPA73415WC49677,1000
2026-03-04,Montréal,2018,BMW,X3 M40i Sport Utility 4D,White,147563,5UXTS3C59J0Y98839,20300
2026-03-25,Montréal,2018,Bmw,X3 M40I,BLACK,96819,5UXTS3C51J0Y98415,27600
2026-04-08,Montréal,2018,Bmw,X3 M40I,Black,174793,5UXTS3C57J0Y99827,17900
2026-03-05,Québec,2018,BMW,X3 xDrive30i,White,134802,5UXTR9C55JLC81745,14000
2026-04-08,Montréal,2018,Bmw,X3 Xdrive30I,Blue,155525,5UXTR9C51JLC83069,15800
2026-03-18,Montréal,2019,BMW,X3 XDrive30i,BLACK,137721,5UXTR9C56KLR05969,13900
2026-04-15,Montréal,2022,Bmw,X3,Gray,53047,5UX53DP03N9J29345,41100
2026-02-25,Montréal,2022,BMW,X3 xDrive30i,Blue,58073,5UX53DP06N9J72626,35100
2026-04-01,Montréal,2022,Bmw,X3 Xdrive30I,WHITE,85459,5UX53DP08N9L63030,30000
2026-04-15,Montréal,2023,Bmw,X3,BLACK,48730,5UX63DP03P9R83484,34600
2026-04-01,Montréal,2023,Bmw,X3 M40I,Blue,77283,5UX83DP03P9T28122,50000
2026-03-04,Montréal,2023,BMW,X3 xDrive30i,Gray,48303,5UX53DP08P9T15787,42400
2026-03-11,Montréal,2023,BMW,X3 XDRIVE30I,GRAY,46993,5UX53DP02P9R10103,41600
2026-04-15,Montréal,2024,Bmw,X3,Black,52042,5UX53DP00R9U52225,46000
2026-03-11,Montréal,2024,BMW,X3 XDRIVE30I,BLACK,69329,5UX53DP09R9U52515,41400
2026-03-11,Montréal,2022,BMW,X4 XDRIVE30I,Blue,57612,5UX33DT02N9L21613,42600
2026-04-08,Montréal,2022,Bmw,X4 Xdrive30I,Gray,86161,5UX33DT0XN9M06490,43200
2026-03-04,Montréal,2023,BMW,X4 M40i,Blue,41498,5UX43DT0XP9P78998,60750
2026-03-04,Montréal,2023,BMW,X4 xDrive30i,Black,32372,5UX33DT07P9R43434,49400
2026-04-08,Montréal,2023,Bmw,X4 Xdrive30I,White,78755,5UX33DT04P9S90531,45000
2026-04-08,Montréal,2023,Bmw,X4 Xdrive30I,Gray,45307,5UX33DT07P9S64084,52600
2026-03-11,Montréal,2018,BMW,X5 XDRIVE35D,Black,199056,5UXKS4C50J0Y20015,15600
2026-04-15,Montréal,2019,Bmw,X5,BLUE,132129,5UXCR6C53KLK84544,33700
2026-02-25,Montréal,2019,BMW,X5 xDrive40i,Black,98471,5UXCR6C58KLL61375,36000
2026-04-08,Montréal,2019,Bmw,X5 Xdrive40I,Black,152413,5UXCR6C5XKLK81916,33100
2026-03-11,Montréal,2020,BMW,X5 XDRIVE40I,WHITE,98986,5UXCR6C00LLL76006,41200
2026-03-18,Montréal,2021,BMW,X5 XDrive40i,BLUE,81024,5UXCR6C01M9E96799,41900
2026-04-08,Montréal,2021,Bmw,X5 Xdrive40I,Blue,128037,5UXCR6C00M9H86256,38400
2026-04-15,Montréal,2022,Bmw,X5,GRAY,66277,5UXCR6C03N9M44847,45600
2026-03-04,Montréal,2022,BMW,X5 xDrive40i,Black,99682,5UXCR6C00N9K99105,46000
2026-03-04,Montréal,2022,BMW,X5 xDrive40i,Gray,79785,5UXCR6C02N9M75166,49600
2026-03-25,Montréal,2022,Bmw,X5 Xdrive40I,WHITE,56499,5UXCR6C07N9L50633,51000
2026-04-08,Montréal,2022,Bmw,X5 Xdrive40I,Black,39214,5UXCR6C04N9J04414,49000
2026-03-11,Montréal,2024,BMW,X5 M Competition,Gray,56277,5YM13ET00R9V93928,119400
2026-03-26,Québec,2024,Bmw,X5 Xdrive40I,White,30654,5UX23EU0XR9T15130,79800
2026-04-15,Montréal,2025,Bmw,X5,BLACK,22365,5UX23EU01S9X11209,79000
2026-02-25,Montréal,2018,BMW,X6 xDrive35i,Black,105089,5UXKU2C50J0X51373,23000
2026-03-04,Montréal,2022,BMW,X6 xDrive40i,Gray,81260,5UXCY6C08N9L50319,56250
2026-03-04,Montréal,2022,BMW,X6 xDrive40i,Black,86592,5UXCY6C02N9L51921,55200
2026-03-25,Montréal,2022,Bmw,X6 Xdrive40I,Black,102370,5UXCY6C08N9N01790,51000
2026-04-01,Montréal,2022,Bmw,X6 Xdrive40I,BLUE,44904,5UXCY6C01N9K90593,65200
2026-04-01,Montréal,2022,Bmw,X6 Xdrive40I,Gray,70658,5UXCY6C02N9L54446,57200
2026-04-15,Montréal,2024,Bmw,X6,GREEN,78775,5UX43EX00R9T82551,84250
2026-03-04,Montréal,2024,BMW,X6 xDrive40i,White,70806,5UX33EX09R9V20888,74000
2026-03-18,Montréal,2024,BMW,X6 XDrive40i,Black,24629,5UX33EX0XR9V33309,85300
2026-04-08,Montréal,2024,Bmw,X6 Xdrive40I,Black,61630,5UX33EX07R9T18289,80000
2026-04-15,Montréal,2026,Bmw,Z4,Black,1194,WBAHF9C04TWY48575,80250
2026-04-09,Québec,2016,Bombardier,Outlander,Green,1521,3JBLGAT25GJ003306,3800
2026-04-09,Québec,2016,Bombardier,Outlander Big Boss 6X6,Green,1206,3JBLGAT29GJ003308,6600
2026-04-09,Québec,2018,Bombardier,Outlander,Green,512,3JBLGAT46JJ004246,5400
2026-04-09,Québec,2018,Bombardier,Outlander,Green,1489,3JBLGAT4XJJ004167,4000
2026-04-09,Québec,2020,Bombardier,Outlander,Black,4341,3JBLPAJ24LJ001589,5200
2026-04-09,Québec,2020,Bombardier,Outlander Max 6X6 Big Boss,Green,2287,3JBRMAJ23LJ000064,8800
2026-04-09,Québec,2020,Brp,Outlander 6X6 6X6,GREEN,825,3JBRMAJ25LJ000227,5800
2026-03-19,Québec,2025,BRP,Spark Trixx,Beige,1,YDV39944B525,8000
2026-04-15,Montréal,2022,Buick,Enclave,White,80532,5GAEVCKWXNJ158276,36000
2026-04-15,Montréal,2022,Buick,Enclave,Blue,92417,5GAEVCKW5NJ156094,34250
2026-04-01,Montréal,2022,Buick,Enclave Avenir,Black,78129,5GAEVCKW2NJ106852,33750
2026-04-09,Québec,2023,Buick,Enclave Essence,Red,42526,5GAEVAKW7PJ114873,38250
2026-03-18,Montréal,2023,Buick,Enclave Premium,White,24165,5GAEVBKW8PJ125418,44200
2026-02-25,Montréal,2015,Buick,Encore Leather,Black,154022,KL4CJGSB7FB045509,4600
2026-04-09,Québec,2017,Buick,Encore Preferred,Red,35144,KL4CJASB6HB209204,10600
2026-04-15,Montréal,2018,Buick,Encore,Black,124248,KL4CJASB6JB607955,6400
2026-04-08,Montréal,2019,Buick,Encore Preferred,Gray,133533,KL4CJESB0KB761036,10300
2026-03-04,Montréal,2020,Buick,Encore GX Select,Black,125134,KL4MMESL7LB115787,8600
2026-04-08,Montréal,2020,Buick,Encore Gx Preferred,Red,107800,KL4MMCSL9LB100468,15400
2026-04-08,Montréal,2020,Buick,Encore Gx Essence,White,58471,KL4MMGSLXLB092906,11000
2026-03-05,Québec,2020,Buick,Encore Sport Touring,Gray,117611,KL4CJ2SB4LB037611,11400
2026-03-11,Montréal,2021,Buick,Encore GX Select,WHITE,23135,KL4MMESL2MB169533,20000
2026-03-18,Montréal,2022,Buick,Encore GX Essence,Gray,10828,KL4MMGSL8NB090591,24250
2026-03-25,Montréal,2022,Buick,Encore Gx Preferred,Gray,69387,KL4MMBS20NB099523,18200
2026-03-26,Québec,2022,Buick,Encore Gx Preferred,White,60310,KL4MMCSL7NB097590,19200
2026-04-02,Québec,2022,Buick,Encore Gx,WHITE,37627,KL4MMESL5NB090388,21800
2026-04-08,Montréal,2022,Buick,Encore Gx Select,Gray,27917,KL4MMESL1NB091750,22250
2026-04-08,Montréal,2022,Buick,Encore Gx Select,Black,87131,KL4MMESLXNB027173,16400
2026-04-15,Montréal,2022,Buick,Encore Gx,Black,81324,KL4MMESL0NB079217,18000
2026-04-15,Montréal,2022,Buick,Encore Gx,Maroon,66924,KL4MMESL2NB093443,19250
2026-03-18,Montréal,2022,Buick,Encore Preferred,Red,8878,KL4CJESM7NB502758,18250
2026-03-04,Montréal,2023,Buick,Encore GX Preferred,Black,43798,KL4MMCSL3PB160123,20600
2026-03-04,Montréal,2023,Buick,Encore GX Preferred,Gray,45102,KL4MMCSL9PB063122,22000
2026-03-18,Montréal,2023,Buick,Encore GX Preferred,White,39491,KL4MMCSL1PB070257,21250
2026-03-18,Montréal,2023,Buick,Encore GX Essence,Black,58610,KL4MMGSL6PB026553,22100
2026-04-08,Montréal,2023,Buick,Encore Gx Preferred,Red,33159,KL4MMCSL7PB147522,21800
2026-03-04,Montréal,2024,Buick,Encore GX Preferred,Gray,16253,KL4AMCSL8RB069080,24250
2026-03-04,Montréal,2024,Buick,Encore GX Preferred,Gray,6023,KL4AMCSL0RB076539,25250
2026-03-04,Montréal,2024,Buick,Encore GX Sport Touring,Black,30570,KL4AMESLXRB111034,27500
2026-03-04,Montréal,2024,Buick,Encore GX Sport Touring,Blue,28752,KL4AMESL9RB102177,26250
2026-02-25,Montréal,2024,Buick,Encore GX Preferred,White,20427,KL4AMCSL8RB004391,24000
2026-03-11,Montréal,2024,Buick,Encore GX Preferred,Black,14722,KL4AMCSL0RB014901,22600
2026-03-11,Montréal,2024,Buick,Encore GX Avenir,White,7959,KL4AMGSL7RB034747,29750
2026-03-18,Montréal,2024,Buick,Encore GX Avenir,Blue,25606,KL4AMGSL0RB123964,27000
2026-03-18,Montréal,2024,Buick,Encore GX Preferred,Black,8695,KL4AMCSLXRB038400,23200
2026-03-18,Montréal,2024,Buick,Encore GX Avenir,White,34446,KL4AMGSL3RB040089,23800
2026-03-18,Montréal,2024,Buick,Encore GX Avenir,Gray,7750,KL4AMGSLXRB122594,29250
2026-03-26,Québec,2024,Buick,Encore Gx Preferred,White,19083,KL4AMBSL9RB104672,23100
2026-03-26,Québec,2024,Buick,Encore Gx Preferred,White,22422,KL4AMBSL7RB175448,22800
2026-03-25,Montréal,2024,Buick,Encore Gx Sport Touring,,19673,NOVIN-CC4F499C7B,26000
2026-03-25,Montréal,2024,Buick,Encore Gx Avenir,,27055,NOVIN-AC3CCA3DC8,28000
2026-03-25,Montréal,2024,Buick,Encore Gx Sport Touring,,27850,NOVIN-227D647F60,27250
2026-03-25,Montréal,2024,Buick,Encore Gx Preferred,,7422,NOVIN-8B46EC705A,24000
2026-03-25,Montréal,2024,Buick,Encore Gx Sport Touring,,17447,NOVIN-0C9188685E,25750
2026-03-25,Montréal,2024,Buick,Encore Gx Sport Touring,,20550,NOVIN-EBBA965C52,27500
2026-03-25,Montréal,2024,Buick,Encore Gx Preferred,,38241,NOVIN-964509D8AF,23500
2026-03-25,Montréal,2024,Buick,Encore Gx Sport Touring,,53557,NOVIN-EC32D60CDB,24750
2026-03-25,Montréal,2024,Buick,Encore Gx Preferred,,6154,NOVIN-96D362D178,23750
2026-03-25,Montréal,2024,Buick,Encore Gx Sport Touring,,11747,NOVIN-6AC38BF18D,27750
2026-04-01,Montréal,2024,Buick,Encore Gx Sport Touring,Red,9674,KL4AMESL1RB080983,27000
2026-04-08,Montréal,2024,Buick,Encore Gx Avenir,Black,28344,KL4AMGSL2RB131676,28000
